sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Steam";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Carbon-Graphite Composites";"";"steam";"gas";"water & wastewater";"1";"recommended";"100";"200 – 225";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Carbon-Graphite Composites";"";"steam";"gas";"water & wastewater";"1";"recommended";"100";"225 – 250";"";"~170°C (338°F)";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"steam";"gas";"water & wastewater";"1";"recommended";"100";"135";"<6";"small amounts of ammonia, phosphoric acid, and fluorine";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"steam";"gas";"water & wastewater";"1";"recommended";"100";"212";"";"trace amount of ammonia";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"steam";"gas";"water & wastewater";"3";"not recommended";"100";"212 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Concrete";"";"steam";"gas";"water & wastewater";"1";"recommended";"100";"212 – 225";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Concrete";"";"steam";"gas";"water & wastewater";"1";"recommended";"100";"225 – 392";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"steam";"gas";"water & wastewater";"1";"recommended";"100";"250 – 325";">12";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"steam";"gas";"water & wastewater";"1";"recommended; barrier linings recommended to 177°C (350°F)";"100";"325 – 400";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluororubber";"";"steam";"gas";"water & wastewater";"3";"not recommended";"100";"200 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Glass, Chemical";"";"steam";"gas";"water & wastewater";"3";"not recommended";"100";"70 – 225";"<1";"~135 psi";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Glass, Chemical";"";"steam";"gas";"water & wastewater";"3";"not recommended; weathering adversely affected, chemical resistance improved";"100";"225 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polypropylene (PP)";"";"steam";"gas";"water & wastewater";"1";"recommended";"100";"200 – 250";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Wood";"";"steam";"gas";"water & wastewater";"3";"not recommended";"100";"212 – 250";"";"pressure";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
