sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"1 – 5";"0 – 212";"<2";"10,160,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"pitting; stress corrosion cracking";"10 – 20";"0 – 230";"<2";"10,160,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"25 – 35";"175 – 225";"<20";"10,160,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"50";"0 – 239";"<20";"10,160,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"1 – 5";"0 – 212";"<2";"10,160,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"10 – 20";"0 – 230";"<2";"10,160,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"50";"0 – 239";"<2";"10,160,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"1 – 5";"0 – 212";"<2";"10,160,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"pitting; stress corrosion cracking";"10 – 20";"0 – 230";"<2";"10,160,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"50";"0 – 239";"<2";"10,160,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 30-44-5-3W (G-30)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"1 – 5";"0 – 212";"<2";"10,160,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 30-44-5-3W (G-30)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"pitting; stress corrosion cracking";"10 – 20";"0 – 230";"<2";"10,160,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 30-44-5-3W (G-30)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"50";"0 – 239";"<2";"10,160,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Aluminum Alloy (3003/ 5154)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"pitting";"5 – 15";"25 – 225";">50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Aluminum Alloy (3003/ 5154)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"15 – 25";"25 – 125";">50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Aluminum Alloy (3003/ 5154)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"45 – 50";"75 – 125";">50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 75";"20 – 50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"15 – 25";"25 – 75";">50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"15 – 25";"175 – 225";">50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"45 – 50";"75 – 125";">50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 225";"<2";"10,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"15 – 25";"25 – 225";"<20";"10,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"25 – 35";"175 – 225";"<20";"10,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Brass (>15Zn)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"pitting";"5 – 15";"25 – 75";">50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Brass (>15Zn)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"15 – 25";"75 – 125";">50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Brass (>15Zn)";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"45 – 50";"75 – 125";">50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cast Iron, Gray/ Ductile";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"5 – 45";"75 – 125";">50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Cast Iron, Gray/ Ductile";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"15 – 25";"25 – 75";">50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Copper/ Bronze/ Low Brass";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"pitting";"5 – 15";"25 – 125";"20 – 50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Copper/ Bronze/ Low Brass";"ammonium chloride";"sal ammoniac";"12125-02-9";"ClH4N";"salts";"";"5 – 15";"125 – 225";">50";"10,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
