sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"10";"70 – 85";"[";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"10 – 50";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"40";"125 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acetal Resins (Polyoxymethylene)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"40 – 50";"125 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Acetal Resins (Polyoxymethylene)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Acetal Resins (Polyoxymethylene)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable";"10";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable; weight gain ";"10";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable";"10 – 20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"nitric acid";"vapor";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"10 – 35";"195 – 205";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"30 – 40";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"60 – 70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended; discolored, ";"70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"100";"75 – 90";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Carbon-Graphite Composites";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Carbon-Graphite Composites";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10 – 20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Carbon-Graphite Composites";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";">30";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Cellulose Acetate";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended; disintegrated";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Cellulose Acetate Butyrate";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended; disintegrated";"10";"60 – 70";"<12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"<37";"135";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"23";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"<70";"85";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"24";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"5";"115";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"25";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"5";"212";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"26";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"nitric acid";"vapor & condensate";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"8";"180";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"27";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10";"200";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"28";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"15 – 37";"200";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"29";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"50";"135";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"30";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"53";"110";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"31";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"nitric acid";"red fuming";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"32";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"5";"212";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"33";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"10";"65";"";"boiling point";"16";"";"";"";"";"";"";"";"";"";"";""
"34";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10";"120";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"35";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"nitric acid";"vapor & condensate";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10";"180";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"36";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"40";"65";"";"boiling point";"16";"";"";"";"";"";"";"";"";"";"";""
"37";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"50";"65";"";"boiling point";"16";"";"";"";"";"";"";"";"";"";"";""
"38";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"70";"75";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"39";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"nitric acid";"red fuming";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"40";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"100";"175";"";"10% solution vapor";"16";"";"";"";"";"";"";"";"";"";"";""
"41";"Chlorinated Polyvinyl Chloride (CPVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Chlorinated Polyvinyl Chloride (CPVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"30";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Chlorinated Polyvinyl Chloride (CPVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"60 – 70";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Chlorinated Polyvinyl Chloride (CPVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable";"70";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Chlorinated Polyvinyl Chloride (CPVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable; weight gain ";"70";"212 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Chlorinated Polyvinyl Chloride (CPVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Chlorosulfonated Polyethylene";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended; red fuming not recommended";"10 – 20";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Chlorosulfonated Polyethylene";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable";"30 – 40";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"49";"Chlorosulfonated Polyethylene";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable";"30 – 50";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Chlorosulfonated Polyethylene";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"40";"150 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
