sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium nitrite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";">10";"60 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"3";"not recommended";"80";"60 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";"80";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"sodium nitrite";"saturated";"7632-00-0";"NNaO2";"salts";"1";"recommended";"80";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Cements";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";"45";"68";"<6";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Cements";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";"45";"140";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended; over 3 years";">10";"50 – 250";">12";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";"20";"70 – 150";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluororubber";"sodium nitrite";"saturated";"7632-00-0";"NNaO2";"salts";"1";"recommended";"80";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Glassed Steel";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polychloroprene";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";"80";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyesters, Glass Fiber-Reinforced";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";">10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polymethyl Methacrylate (PMMA)";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polypropylene (PP)";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";"100";"60 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyvinyl Chloride (PVC)";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyvinylidene Fluoride (PVDF)";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";"100";"70 – 275";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Rubber, Butyl (BR)";"sodium nitrite";"saturated";"7632-00-0";"NNaO2";"salts";"1";"recommended";"80";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Rubber, Natural (NR)";"sodium nitrite";"";"7632-00-0";"NNaO2";"salts";"1";"recommended";"80";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
