sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Bromochloromethane";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"hazardous!";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Lead";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel (200)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel Cast Iron (15-35Ni)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel-Copper (400)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Ni-Cr-Fe Alloy (600/ 690)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Ni-Mo Alloy (Ni-30Mo; B-2)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Silicon Cast Iron (14Si)";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"52 – 237";"<2";"32,210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Silver";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Steels, Carbon/ Low Alloy";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Zirconium";"bromochloromethane";"halon 1011";"74-97-5";"CH2BrCl";"halogenated aliphatics";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
