sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium hypochlorite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"5";"212";"20 – 50";"88,147,197,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 75";"<2";"88,147,197,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"5 – 15";"175 – 212";"<20";"88,147,197,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"5 – 15";"25 – 75";"<2";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"5 – 15";"75 – 225";"20 – 50";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"5 – 15";"25 – 75";"<2";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"5 – 15";"75 – 225";"20 – 50";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"5 – 95";"25 – 75";">50";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 75";">50";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"85 – 95";"25 – 75";">50";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 75";">50";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"5 – 15";"175 – 225";">50";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"15 – 25";"25 – 75";"<20";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"5 – 95";"25 – 75";">50";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cast Iron, Gray/ Ductile";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"5 – 95";"25 – 75";">50";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cast Iron, Gray/ Ductile";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"100";"25 – 75";"<2";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"5 – 95";"25 – 75";">50";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (12Cr)";"sodium hypochlorite";"7681-52-9";"ClNaO";"salts";"";"5 – 15";"25 – 75";">50";"88,147,211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
