sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cetyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 500";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
