sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dioctyl phthalate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"3";"not recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"3";"not recommended";"60";"85";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"3";"not recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluororubber";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Nylon";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polychloroprene";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyesters, Glass Fiber-Reinforced";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyethylene (PE)";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"3";"not recommended";"100";"70 – 150";"";"plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"1";"recommended";"100";"0 – 70";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polypropylene (PP)";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"2";"questionable";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polypropylene (PP)";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"3";"not recommended";"100";"80 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinyl Chloride (PVC)";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Rubber, Butyl (BR)";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Natural (NR)";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Vinyl Ester Resins";"";"dioctyl phthalate";"117-84-0";"C24H38O4";"esters";"1";"recommended";"100";"70 – 150";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
