sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium chloride";"7647-14-5";"ClNa";"salts";"";"5 – 35";"25 – 125";"<20";"85,114,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium chloride";"7647-14-5";"ClNa";"salts";"";"15 – 35";"125 – 225";"<20";"85,114,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium chloride";"7647-14-5";"ClNa";"salts";"";"25 – 35";"25 – 325";"<20";"85,114,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium chloride";"7647-14-5";"ClNa";"salts";"";"35 – 45";"125 – 175";"<2";"85,114,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium chloride";"7647-14-5";"ClNa";"salts";"";"100";"25 – 75";"<2";"85,114,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"sodium chloride";"7647-14-5";"ClNa";"salts";"";"5 – 35";"25 – 125";"<20";"85,114,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"sodium chloride";"7647-14-5";"ClNa";"salts";"";"15 – 35";"125 – 225";"<20";"85,114,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"sodium chloride";"7647-14-5";"ClNa";"salts";"";"25 – 35";"25 – 325";"<20";"85,114,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"sodium chloride";"7647-14-5";"ClNa";"salts";"";"35 – 45";"125 – 175";"<2";"85,114,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"sodium chloride";"7647-14-5";"ClNa";"salts";"";"100";"25 – 75";"<2";"85,114,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
