sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium biphosphate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonium biphosphate";"salts";"";"5 – 45";"25 – 175";"<2";"213,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"ammonium biphosphate";"salts";"";"5 – 45";"175 – 225";"<20";"213,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium biphosphate";"salts";"";"5 – 45";"25 – 175";"<2";"213,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium biphosphate";"salts";"";"5 – 45";"175 – 225";"<20";"213,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"ammonium biphosphate";"salts";"";"5 – 45";"25 – 175";"<2";"213,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"ammonium biphosphate";"salts";"";"5 – 45";"175 – 225";"<20";"213,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"ammonium biphosphate";"salts";"pitting";"5 – 15";"25 – 75";"<20";"213,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"ammonium biphosphate";"salts";"";"5 – 15";"75 – 125";">50";"213,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"ammonium biphosphate";"salts";"";"5 – 15";"175 – 225";">50";"213,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"ammonium biphosphate";"salts";"";"15 – 25";"25 – 75";">50";"213,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium biphosphate";"salts";"";"5 – 35";"125 – 225";"<20";"213,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium biphosphate";"salts";"";"5 – 45";"25 – 125";"<2";"213,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium biphosphate";"salts";"";"5 – 45";"25 – 175";"<2";"213,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
