sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrazine hydrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"hydrazine hydrate";"7803-57-8";"H6N2O";"hydrazines";"1";"recommended";">90";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"hydrazine hydrate";"7803-57-8";"H6N2O";"hydrazines";"2";"questionable";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"hydrazine hydrate";"7803-57-8";"H6N2O";"hydrazines";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluororubber";"hydrazine hydrate";"7803-57-8";"H6N2O";"hydrazines";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Glass, Chemical";"hydrazine hydrate";"7803-57-8";"H6N2O";"hydrazines";"1";"recommended; spontaneous ignition, vapor, ~270°C (518°F), 100%";"<5";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Glass, Chemical";"hydrazine hydrate";"7803-57-8";"H6N2O";"hydrazines";"3";"not recommended";"50 – 90";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polychloroprene";"hydrazine hydrate";"7803-57-8";"H6N2O";"hydrazines";"2";"questionable";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyvinyl Chloride (PVC)";"hydrazine hydrate";"7803-57-8";"H6N2O";"hydrazines";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Rubber, Butyl (BR)";"hydrazine hydrate";"7803-57-8";"H6N2O";"hydrazines";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Rubber, Natural (NR)";"hydrazine hydrate";"7803-57-8";"H6N2O";"hydrazines";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Wood";"hydrazine hydrate";"7803-57-8";"H6N2O";"hydrazines";"3";"not recommended";"50 – 90";"60 – 70";"fire hazard";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
