sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Copper nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"30";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"3";"not recommended";"30";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"2";"questionable";"30";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"copper nitrate";"cupric nitrate";"saturated";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"100";"140";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"copper nitrate";"cupric nitrate";"saturated";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"100";"140";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"7";"Chlorinated Polyvinyl Chloride (CPVC)";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"30";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"1";"recommended; over 3 years";">10";"75 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"20";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"copper nitrate";"cupric nitrate";"saturated";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"12";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";""
"13";"Fluororubber";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"30";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"14";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"1";"recommended";">10";"70 – 250";">12";"~7pH";"1";"";"";"";"";"";"";"";"";"";""
"15";"Polychloroprene";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"30";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"16";"Polyesters, Glass Fiber-Reinforced";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"17";"Polyethylene (PE)";"";"copper nitrate";"cupric nitrate";"saturated";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";""
"18";"Polymethyl Methacrylate (PMMA)";"";"copper nitrate";"cupric nitrate";"";"3251-23-8";"CuN2O6";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
