sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Propionic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";">5";"25 – 75";"<2";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";">5";"75 – 225";"<20";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";">5";"25 – 75";"<2";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";">5";"75 – 225";"<20";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";">5";"25 – 75";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";">5";"175 – 225";">50";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"5 – 15";"175 – 225";">50";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";">5";"25 – 75";"<20";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";">45";"175 – 225";">50";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"275 – 325";"20 – 50";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"5 – 45";"75 – 225";"<20";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
