sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Alloy 20-25-6Mo (254SMO/ 6XN)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-6Mo (254SMO/ 6XN)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"any";"0 – 230";"<2";"";"2,140,156,208,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"acetic anhydride";"";"";"108-24-7";"C4H6O3";"anhydrides";"100";"0 – 248";"<2";"";"3,119,157,208";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"100";"0 – 133";"<2";"";"158";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"adipic acid";"";"";"124-04-9";"C6H10O4";"organic (weak) acids";"<2";"0 – 212";"<2";"";"4,158";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-6Mo (254SMO/ 6XN)";"adipic acid";"";"";"124-04-9";"C6H10O4";"organic (weak) acids";"100";"302 – 392";"<2";"";"4,158";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-6Mo (254SMO/ 6XN)";"aluminum acetate";"";"";"";"";"salts";"<95";"0 – 212";"<2";"";"158,208,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-25-6Mo (254SMO/ 6XN)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"5";"0 – 212";"<2";"";"5,152,158,210";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-25-6Mo (254SMO/ 6XN)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"10";"0 – 212";"20 – 50";"";"5,152,158,210";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-25-6Mo (254SMO/ 6XN)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"20 – 30";"212 – 230";">50";"";"5,152,158,210";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 20-25-6Mo (254SMO/ 6XN)";"aluminum nitrate";"";"";"";"";"salts";"<40";"0 – 68";"<2";"";"159,215";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 20-25-6Mo (254SMO/ 6XN)";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"25";"0 – 212";"<2";"";"7,159,215";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"";"1066-33-7";"CH5NO3";"salts";"<95";"0 – 68";"<2";"";"159,217,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium bifluoride";"";"";"";"";"";"10";"0 – 77";"20 – 50";"";"134,154,217";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium bisulfite";"ammonium hydrogen sulfite";"";"10192-30-0";"H5NO3S";"salts";"10";"68";"<2";"";"151,159";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium bisulfite";"ammonium hydrogen sulfite";"";"10192-30-0";"H5NO3S";"salts";"10";"212";"<2";"";"151,159";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium carbonate";"";"";"506-87-6";"CH8N2O3";"salts";"<95";"0 – 212";"<2";"";"9,160,217";"";"";"";"";"";"";"";"";"";"";"";"";""
