sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Fats";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"fats";"natural";"fats & oils";"100";"75 – 425";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"fats";"natural";"fats & oils";"100";"75 – 425";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cr Stainless Steel (12Cr)";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (17Cr)";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Gold/ Platinum";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Lead";"fats";"natural";"fats & oils";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel (200)";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel Cast Iron (15-35Ni)";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel-Copper (400)";"fats";"natural";"fats & oils";"100";"25 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Ni-Cr-Fe Alloy (600/ 690)";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Ni-Mo Alloy (Ni-30Mo; B-2)";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Silver";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Steels, Carbon/ Low Alloy";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Superferritic Stainless Steel (26-1)";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Tantalum";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Titanium, Unalloyed";"fats";"natural";"fats & oils";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
