sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Gallic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"gallic acid";"3,4,5-trihydroxybenzoic acid";"";"149-91-7";"C7H6O5";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"gallic acid";"3,4,5-trihydroxybenzoic acid";"";"149-91-7";"C7H6O5";"organic (weak) acids";"1";"recommended";"100";"80";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"3";"Chlorinated Polyvinyl Chloride (CPVC)";"";"gallic acid";"3,4,5-trihydroxybenzoic acid";"";"149-91-7";"C7H6O5";"organic (weak) acids";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Cements";"";"gallic acid";"3,4,5-trihydroxybenzoic acid";"";"149-91-7";"C7H6O5";"organic (weak) acids";"1";"recommended";"50";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Cements";"";"gallic acid";"3,4,5-trihydroxybenzoic acid";"";"149-91-7";"C7H6O5";"organic (weak) acids";"3";"not recommended";"50";"140";"";"";"5";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"gallic acid";"3,4,5-trihydroxybenzoic acid";"";"149-91-7";"C7H6O5";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";""
"7";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"gallic acid";"3,4,5-trihydroxybenzoic acid";"";"149-91-7";"C7H6O5";"organic (weak) acids";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"gallic acid";"3,4,5-trihydroxybenzoic acid";"saturated";"149-91-7";"C7H6O5";"organic (weak) acids";"1";"recommended; may stress crack";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";""
"9";"Polyvinyl Chloride (PVC)";"";"gallic acid";"3,4,5-trihydroxybenzoic acid";"";"149-91-7";"C7H6O5";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"10";"Polyvinylidene Fluoride (PVDF)";"";"gallic acid";"3,4,5-trihydroxybenzoic acid";"";"149-91-7";"C7H6O5";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1, 23";"";"";"";"";"";"";"";"";"";""
"11";"Polyvinylidene Fluoride (PVDF)";"";"gallic acid";"3,4,5-trihydroxybenzoic acid";"";"149-91-7";"C7H6O5";"organic (weak) acids";"2";"questionable";"100";"70 – 125";"";"";"1, 23";"";"";"";"";"";"";"";"";"";""
"12";"Styrene Acrylonitrile Copolymer (SAN)";"";"gallic acid";"3,4,5-trihydroxybenzoic acid";"";"149-91-7";"C7H6O5";"organic (weak) acids";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
