sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Allyl sulfide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"allyl sulfide";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"allyl sulfide";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"allyl sulfide";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"allyl sulfide";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"allyl sulfide";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"allyl sulfide";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"allyl sulfide";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"allyl sulfide";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"allyl sulfide";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"allyl sulfide";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"allyl sulfide";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"allyl sulfide";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"allyl sulfide";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel Cast Iron (15-35Ni)";"allyl sulfide";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Ni-Cr-Fe Alloy (600/ 690)";"allyl sulfide";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Silicon Cast Iron (14Si)";"allyl sulfide";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Silver";"allyl sulfide";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Steels, Carbon/ Low Alloy";"allyl sulfide";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Superferritic Stainless Steel (26-1)";"allyl sulfide";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Tantalum";"allyl sulfide";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
