sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acrylonitrile";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"3";"not recommended";"100";"80";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"1";"recommended; over 3 years";">10";"50 – 120";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluororubber";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Glassed Steel";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"1";"recommended; questionable ";">10";"50 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Phenolic Resins, Asbestos-Reinforced";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Phenolic Resins, Asbestos-Reinforced";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polychloroprene";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyesters, Glass Fiber-Reinforced";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"3";"not recommended";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Polypropylene (PP)";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinylidene Fluoride (PVDF)";"Kynar";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"60 – 70";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyvinylidene Fluoride (PVDF)";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"2";"questionable";"100";"70 – 100";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyvinylidene Fluoride (PVDF)";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"3";"not recommended";"100";"100 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"18";"Rubber, Butyl (BR)";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Rubber, Natural (NR)";"";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"3";"not recommended";"100";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
