sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Fluoboric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Cr-Fe Alloy (600/ 690)";"fluoboric acid";"inorganic acids";"";"25 – 35";"25 – 75";"<2";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Cr-Fe Alloy (600/ 690)";"fluoboric acid";"inorganic acids";"";"25 – 35";"125 – 175";"<20";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Ni-Mo Alloy (Ni-30Mo; B-2)";"fluoboric acid";"inorganic acids";"";"15 – 25";"25 – 175";"<2";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Mo Alloy (Ni-30Mo; B-2)";"fluoboric acid";"inorganic acids";"";"15 – 35";"25 – 75";"<2";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silicon Cast Iron (14Si)";"fluoboric acid";"inorganic acids";"";"25 – 35";"142 – 192";"<20";"214,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Steels, Carbon/ Low Alloy";"fluoboric acid";"inorganic acids";"";"100";"25 – 75";"<2";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Tantalum";"fluoboric acid";"inorganic acids";"";"5 – 25";"175 – 225";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Titanium, Unalloyed";"fluoboric acid";"inorganic acids";"";"5 – 25";"175 – 225";">50";"214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
