sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Xylene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"xylene";"aromatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"xylene";"aromatics";"3";"not recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Carbon-Graphite Composites";"";"xylene";"aromatics";"1";"recommended";"100";"70 – 320";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"xylene";"aromatics";"3";"not recommended; weight loss";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"xylene";"aromatics";"3";"not recommended; softened";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"xylene";"aromatics";"1";"recommended";"100";"100";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"xylene";"aromatics";"1";"recommended";"100";"150";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorinated Polyvinyl Chloride (CPVC)";"";"xylene";"aromatics";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorosulfonated Polyethylene";"";"xylene";"aromatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"xylene";"aromatics";"1";"recommended; over 3 years";">10";"75 – 160";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"xylene";"aromatics";"1";"recommended";"100";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"xylene";"aromatics";"1";"recommended";"100";"70 – 90";"";"cyclic immersion";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"xylene";"aromatics";"1";"recommended";"100";"90 – 265";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"xylene";"aromatics";"1";"recommended; weight gain, ";"100";"265 – 279";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Fluororubber";"";"xylene";"aromatics";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"xylene";"aromatics";"1";"recommended";"100";"70 – 80";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"xylene";"aromatics";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nylon";"";"xylene";"aromatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Phenolic Resins, Asbestos-Reinforced";"";"xylene";"aromatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Phenolic Resins, Asbestos-Reinforced";"";"xylene";"aromatics";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polychloroprene";"";"xylene";"aromatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyesters, Glass Fiber-Reinforced";"";"xylene";"aromatics";"1";"recommended";"100";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyesters, Glass Fiber-Reinforced";"";"xylene";"aromatics";"1";"recommended";"100";"100 – 150";"";"+ kerosene, 85% phosphoric acid, 33:35";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyethylene (PE)";"";"xylene";"aromatics";"3";"not recommended; may stress crack; swollen; high level plasticizer; t.Y.S. --->50%";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"xylene";"aromatics";"1";"recommended";"100";"0 – 176";"<6";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polypropylene (PP)";"";"xylene";"aromatics";"2";"questionable; discolored; swollen; weight gain";"100";"60 – 70";"<6";"intermittent exposure";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polypropylene (PP)";"";"xylene";"aromatics";"3";"not recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyvinyl Chloride (PVC)";"";"xylene";"aromatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"xylene";"aromatics";"1";"recommended";"100";"75";"";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyvinylidene Fluoride (PVDF)";"Kynar";"xylene";"aromatics";"1";"recommended";"100";"70 – 200";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyvinylidene Fluoride (PVDF)";"";"xylene";"aromatics";"2";"questionable";"100";"200 – 250";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Rubber, Butyl (BR)";"";"xylene";"aromatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Rubber, Natural (NR)";"";"xylene";"aromatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Styrene Acrylonitrile Copolymer (SAN)";"";"xylene";"aromatics";"3";"not recommended";"100";"70 – 120";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Vinyl Ester Resins";"";"xylene";"aromatics";"1";"recommended";"100";"70 – 100";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Vinyl Ester Resins";"";"xylene";"aromatics";"1";"recommended";"100";"100 – 150";"";"+ kerosene, 85% H3PO4, 33:35";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
