sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonia";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 225";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"ammonia";"7664-41-7";"H3N";"bases";"severe corrosion with oxygen ingress";"";"100";"25 – 75";"<2";"8,148,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"ammonia";"7664-41-7";"H3N";"bases";"severe corrosion with oxygen ingress";"";"100";"25 – 500";"<2";"8,148,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"ammonia";"7664-41-7";"H3N";"bases";"severe corrosion with oxygen ingress";"";"";"0";"<2";"8,148,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 225";"<20";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
