sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Triethanolamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluororubber";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"1";"recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Glass, Chemical";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"1";"recommended";"10";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Glass, Chemical";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Nylon";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polychloroprene";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyesters, Glass Fiber-Reinforced";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyethylene (PE)";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"3";"not recommended";">90";"70 – 125";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyethylene (PE)";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"1";"recommended";"100";"60 – 70";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"20";"Polypropylene (PP)";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"1";"recommended";"100";"60 – 175";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyvinyl Chloride (PVC)";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinyl Chloride (PVC)";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Rubber, Butyl (BR)";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Rubber, Natural (NR)";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Styrene Acrylonitrile Copolymer (SAN)";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Vinyl Ester Resins";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"1";"recommended";"100";"70 – 120";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"27";"Wood";"";"triethanolamine";"tris(2-hydroxyethyl)amine";"102-71-6";"C6H15NO3";"amines";"2";"questionable";"10 – 90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
