sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Codliver oil";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"codliver oil";"fats & oils";"100";"0 – 300";"<2";"";"171,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"codliver oil";"fats & oils";"100";"0 – 300";"<2";"";"171,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"codliver oil";"fats & oils";"100";"0 – 300";"<2";"";"171,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"codliver oil";"fats & oils";"100";"0 – 300";"<2";"";"171,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"codliver oil";"fats & oils";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"codliver oil";"fats & oils";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"codliver oil";"fats & oils";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"codliver oil";"fats & oils";"100";"25 – 225";">50";"possible presence of sulfidic contaminants";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"codliver oil";"fats & oils";"100";"25 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"codliver oil";"fats & oils";"100";"25 – 225";">50";"possible presence of sulfidic contaminants";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Duplex Stainless Steel (25-6-3)";"codliver oil";"fats & oils";"100";"0 – 300";"<2";"";"171,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"codliver oil";"fats & oils";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"codliver oil";"fats & oils";"100";"25 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel (200)";"codliver oil";"fats & oils";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel-Copper (400)";"codliver oil";"fats & oils";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Ni-Cr-Fe Alloy (600/ 690)";"codliver oil";"fats & oils";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Silver";"codliver oil";"fats & oils";"100";"25 – 225";">50";"possible presence of sulfidic contaminants";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Steels, Carbon/ Low Alloy";"codliver oil";"fats & oils";"100";"25 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Tantalum";"codliver oil";"fats & oils";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Titanium, Unalloyed";"codliver oil";"fats & oils";"100";"0 – 300";"<2";"";"171,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
