sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Heptane";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"heptane";"";"142-82-5";"C7H16";"hydrocarbons";"1";"recommended";"100";"70 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"heptane";"";"142-82-5";"C7H16";"hydrocarbons";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"heptane";"";"142-82-5";"C7H16";"hydrocarbons";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"heptane";"";"142-82-5";"C7H16";"hydrocarbons";"3";"not recommended; weight loss";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"heptane";"";"142-82-5";"C7H16";"hydrocarbons";"2";"questionable; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"heptane";"";"142-82-5";"C7H16";"hydrocarbons";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"heptane";"";"142-82-5";"C7H16";"hydrocarbons";"1";"recommended";"100";"125";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"heptane";"";"142-82-5";"C7H16";"hydrocarbons";"1";"recommended";"100";"185 – 215";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"heptane";"";"142-82-5";"C7H16";"hydrocarbons";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"heptane";"vapor & condensate";"142-82-5";"C7H16";"hydrocarbons";"1";"recommended";"100";"120";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
