sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acrylic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"";">5";"25 – 125";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"";"100";"125 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"";">5";"25 – 125";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"";"100";"125 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"";"100";"25 – 75";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"";"100";"25 – 125";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"";">5";"25 – 125";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"";"100";"125 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"208,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"208,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"208,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"";"100";"325 – 375";"<20";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"";"100";"325 – 375";"<20";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"";"100";"325 – 375";"<20";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"acrylic acid";"2-propenoic acid";"1979-10-07";"C3H4O2";"organic (weak) acids";"";"100";"325 – 375";"<20";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
