sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"73";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"50";"70 – 90";"";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";""
"74";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; >12 months";">60";"250 – 300";"";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";""
"75";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"100";"60 – 150";"";"immersed, cyclic immersion 21-66C (70-150F), no water, wets";"1, 10, 22";"";"";"";"";"";"";"";"";"";""
"76";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"100";"200 – 275";"";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";""
"77";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; rating for FEP only, no water, >7 pH, 150°C (302°F)";"100";"275 – 302";"";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";""
"78";"Fluororubber";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10 – 60";"70 – 135";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"79";"Fluororubber";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; weight gain";"10 – 60";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"80";"Fluororubber";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";"80";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";""
"81";"Fluororubber";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"80";"100 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"82";"Fluororubber";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";"100";"60 – 70";"";"glacial also, crude-95% also, no water";"1";"";"";"";"";"";"";"";"";"";""
"83";"Fluororubber";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"84";"Furan Laminates";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"20";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"85";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"86";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"87";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"acetic acid";"ethanoic acid";"glacial";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"88";"Glass, Chemical";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"89";"Glassed Steel";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; questionable ";">10";"50 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";""
"90";"Nylon";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable; discolored; weight gain";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"91";"Nylon";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"92";"Nylon";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"40";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"93";"Nylon";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"90";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"94";"Perfluoroalkoxy Resins";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; weight gain; strength loss";"100";"200 – 250";"<1";"glacial; acetic anhydride also";"1, 22";"";"";"";"";"";"";"";"";"";""
"95";"Phenolic Resins, Asbestos-Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"96";"Phenolic Resins, Asbestos-Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"30";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"97";"Phenolic Resins, Asbestos-Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";"30";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"98";"Phenolic Resins, Asbestos-Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"30";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"99";"Phenolic Resins, Asbestos-Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"100";"70 – 80";"";"glacial also";"1";"";"";"";"";"";"";"";"";"";""
"100";"Phenolic Resins, Asbestos-Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
