sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbon monoxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"25 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"275 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"275 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"25 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"25 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"25 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"25 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"25 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"25 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"275 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"25 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"25 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"25 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"carbon monoxide";"carbon oxide";"630-08-0";"CO";"gases";"100";"25 – 500";"<2";"29,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
