sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylenediamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"3";"not recommended";"100";"70 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluororubber";"";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Nylon";"";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Perfluoroalkoxy Resins";"";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"1";"recommended; strength loss; steady state reached in one week exposure";"100";"32 – 250";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polychloroprene";"";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyesters, Glass Fiber-Reinforced";"";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"3";"not recommended";"any";"0 – 250";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Fluoride (PVDF)";"Kynar";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"2";"questionable";"100";"60 – 70";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinylidene Fluoride (PVDF)";"";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"3";"not recommended";"100";"70 – 125";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Butyl (BR)";"";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Rubber, Natural (NR)";"";"ethylenediamine";"1,2-ethanediamine";"107-15-3";"C2H8N2";"amines";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
