sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl acrylate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"100";"25 – 225";"<2";"123,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"100";"25 – 225";"<2";"123,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"100";"25 – 225";"<2";"123,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"100";"25 – 225";"<2";"123,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"100";"25 – 225";"<2";"123,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"100";"25 – 225";"<2";"123,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"100";"25 – 225";"<2";"123,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"100";"25 – 225";"<2";"123,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper-Nickel";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"100";"25 – 225";"<2";"123,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"ethyl acrylate";"ethyl propenoate";"140-88-5";"C5H8O2";"esters";"100";"25 – 225";"<2";"123,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
