sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sulfuryl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"sulfuryl chloride";"";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sulfuryl chloride";"";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sulfuryl chloride";"";"3";"not recommended";"100";"80";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"sulfuryl chloride";"";"3";"not recommended";"100";"120";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"sulfuryl chloride";"";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"sulfuryl chloride";"";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Concrete";"";"sulfuryl chloride";"";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"sulfuryl chloride";"";"1";"recommended; weight gain, strength loss, steady state reached in one week exposure";"100";"32 – 150";"[";"";"1, 10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"sulfuryl chloride";"";"1";"recommended";"100";"250 – 300";"[>12]";"";"1, 10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"sulfuryl chloride";"";"1";"recommended";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
