sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Diethyl ether";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"0 – 225";"<2";"44,173,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"0 – 95";"<2";"44,173";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"0 – 225";"<2";"44,173,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"0 – 225";"<2";"44,173,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 225";"<20";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 225";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 225";"<2";"44,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 225";"<20";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 125";"<2";"44,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"125 – 225";"<20";"44,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 425";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper-Nickel";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 225";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (12Cr)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 125";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (12Cr)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"125 – 225";"<20";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 125";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (17Cr)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"125 – 225";"<20";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Duplex Stainless Steel (25-6-3)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"0 – 95";"<2";"44,173";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Gold/ Platinum";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 225";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Lead";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 75";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 225";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 225";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 225";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 225";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 225";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel (200)";"diethyl ether";"ethyl ether";"60-29-7";"C4H10O";"ethers";"100";"25 – 225";"<2";"44,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
