sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methylsulfuric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"methylsulfuric acid";"organic (weak) acids";"3";"not recommended";"10 – 40";"70 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"methylsulfuric acid";"organic (weak) acids";"3";"not recommended";"100";"70 – 175";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"methylsulfuric acid";"organic (weak) acids";"3";"not recommended";"10 – 50";"70 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"methylsulfuric acid";"organic (weak) acids";"3";"not recommended";"100";"70 – 175";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorinated Polyvinyl Chloride (CPVC)";"methylsulfuric acid";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"methylsulfuric acid";"organic (weak) acids";"1";"recommended";"10 – 50";"70 – 100";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"methylsulfuric acid";"organic (weak) acids";"2";"questionable";"10 – 50";"100 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"methylsulfuric acid";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorosulfonated Polyethylene";"methylsulfuric acid";"organic (weak) acids";"2";"questionable";"100";"150 – 175";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluororubber";"methylsulfuric acid";"organic (weak) acids";"1";"recommended";"10 – 50";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluororubber";"methylsulfuric acid";"organic (weak) acids";"2";"questionable";"10 – 50";"70 – 100";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluororubber";"methylsulfuric acid";"organic (weak) acids";"3";"not recommended";"10 – 50";"100 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluororubber";"methylsulfuric acid";"organic (weak) acids";"2";"questionable";"100";"70 – 100";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluororubber";"methylsulfuric acid";"organic (weak) acids";"3";"not recommended";"100";"100 – 175";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polychloroprene";"methylsulfuric acid";"organic (weak) acids";"1";"recommended";"10 – 50";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
