sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Antimony trifluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"45 – 55";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"65 – 75";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"75 – 85";"275 – 325";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"45 – 55";"175 – 225";"20 – 50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"65 – 75";"175 – 225";"20 – 50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"75 – 85";"275 – 325";"20 – 50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"45 – 55";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"65 – 75";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"75 – 85";"275 – 325";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"45 – 55";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"65 – 75";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"75 – 85";"275 – 325";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"45 – 55";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
