sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzoyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Aluminum Alloy (3003/ 5154)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"hazardous!";"";"45 – 55";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Aluminum Alloy (3003/ 5154)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"possible hazard";"";"85 – 95";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"possible hazard";"";"100";"25 – 75";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"possible hazard";"";"100";"175 – 225";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"pitting";"100";"25 – 75";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"pitting";"100";"25 – 75";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 75";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 75";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"175 – 225";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"pitting";"100";"25 – 75";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"175 – 225";"20 – 50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel-Copper (400)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Ni-Cr-Fe Alloy (600/ 690)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Mo Alloy (Ni-30Mo; B-2)";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Silver";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Steels, Carbon/ Low Alloy";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 75";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Steels, Carbon/ Low Alloy";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"175 – 225";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Tantalum";"benzoyl chloride";"benzenecarbonyl chloride";"98-88-4";"C7H5ClO";"acid halides";"";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
