sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Styrene Acrylonitrile Copolymer (SAN)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Styrene Acrylonitrile Copolymer (SAN)";"barium carbonate";"";"";"513-77-9";"CBaO3";"salts";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Styrene Acrylonitrile Copolymer (SAN)";"barium chloride";"";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Styrene Acrylonitrile Copolymer (SAN)";"barium sulfate";"";"crystal, powders, solids";"7727-43-7";"BaO4S";"salts";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Styrene Acrylonitrile Copolymer (SAN)";"beef gravy";"";"";"";"";"foods & beverages";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Styrene Acrylonitrile Copolymer (SAN)";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Styrene Acrylonitrile Copolymer (SAN)";"benzene hexachloride";"";"";"";"";"aromatics";"3";"not recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Styrene Acrylonitrile Copolymer (SAN)";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Styrene Acrylonitrile Copolymer (SAN)";"benzyl acetate";"";"";"140-11-4";"C9H10O2";"esters";"3";"not recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Styrene Acrylonitrile Copolymer (SAN)";"borax";"";"saturated";"";"";"surfactants & detergents";"1";"recommended";"10";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Styrene Acrylonitrile Copolymer (SAN)";"borax";"";"saturated";"";"";"surfactants & detergents";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Styrene Acrylonitrile Copolymer (SAN)";"boric acid";"";"saturated";"";"";"inorganic acids";"1";"recommended";"10 – 30";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Styrene Acrylonitrile Copolymer (SAN)";"boric acid";"";"";"";"";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
