sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chloric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"chloric acid";"inorganic acids";"3";"not recommended";"10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"chloric acid";"inorganic acids";"3";"not recommended; questionable 1% at 66°C (151°F)";"10 – 20";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"chloric acid";"inorganic acids";"1";"recommended";"10";"70 – 212";"1% also";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"chloric acid";"inorganic acids";"1";"recommended";"10 – 20";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorinated Polyvinyl Chloride (CPVC)";"chloric acid";"inorganic acids";"1";"recommended";"20";"70 – 212";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"chloric acid";"inorganic acids";"1";"recommended; recommended 1% to 100°C (212°F)";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"chloric acid";"inorganic acids";"2";"questionable";"10";"150 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"chloric acid";"inorganic acids";"1";"recommended";"10";"175 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorosulfonated Polyethylene";"chloric acid";"inorganic acids";"2";"questionable";"20";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorosulfonated Polyethylene";"chloric acid";"inorganic acids";"3";"not recommended";"20";"150 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Concrete";"chloric acid";"inorganic acids";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluororubber";"chloric acid";"inorganic acids";"3";"not recommended";"10";"150 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluororubber";"chloric acid";"inorganic acids";"1";"recommended; recommended 1% 21-60°C (70-140°F)";"10 – 20";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluororubber";"chloric acid";"inorganic acids";"3";"not recommended";"10 – 20";"150 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Glass, Chemical";"chloric acid";"inorganic acids";"1";"recommended";"10 – 90";"70 – 200";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polychloroprene";"chloric acid";"inorganic acids";"1";"recommended";"1";"70 – 150";"1% from 21-100°C (70-212°F)";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polychloroprene";"chloric acid";"inorganic acids";"2";"questionable";"1";"150 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polychloroprene";"chloric acid";"inorganic acids";"3";"not recommended";"10";"150 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polychloroprene";"chloric acid";"inorganic acids";"1";"recommended";"10 – 20";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
