sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Alloy 20-25-4Mo (904L)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 20-25-4Mo (904L)";"acetylene";"ethyne";"";"74-86-2";"C2H2";"hydrocarbons";"";"";"100";"25 – 425";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 20-25-4Mo (904L)";"adipic acid";"";"";"124-04-9";"C6H10O4";"organic (weak) acids";"";"";"<2";"0 – 212";"<2";"";"4,158";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 20-25-4Mo (904L)";"adipic acid";"";"";"124-04-9";"C6H10O4";"organic (weak) acids";"";"";"100";"302 – 392";"<2";"";"4,158";"";"";"";"";"";"";"";"";"";"";""
"14";"Alloy 20-25-4Mo (904L)";"alkylphenol";"";"";"";"";"phenols";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"15";"Alloy 20-25-4Mo (904L)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"";"";">5";"25 – 225";"<2";"";"207,215,219";"";"";"";"";"";"";"";"";"";"";""
"16";"Alloy 20-25-4Mo (904L)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"";"";"100";"25 – 325";"<2";"";"207,215,219";"";"";"";"";"";"";"";"";"";"";""
"17";"Alloy 20-25-4Mo (904L)";"allyl sulfide";"";"";"";"";"";"";"";"100";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";""
"18";"Alloy 20-25-4Mo (904L)";"allylidene diacetate";"";"";"";"";"esters";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";""
"19";"Alloy 20-25-4Mo (904L)";"aluminum acetate";"";"";"";"";"salts";"";"";"<95";"0 – 225";"<2";"";"158,208,219,220";"";"";"";"";"";"";"";"";"";"";""
"20";"Alloy 20-25-4Mo (904L)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"";"5";"0 – 212";"<2";"";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";""
"21";"Alloy 20-25-4Mo (904L)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"";"10";"0 – 212";">50";"";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";""
"22";"Alloy 20-25-4Mo (904L)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"pitting; stress corrosion cracking";"10 – 35";"75 – 125";">50";"";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";""
"23";"Alloy 20-25-4Mo (904L)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"";"10 – 35";"175 – 225";">50";"";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";""
"24";"Alloy 20-25-4Mo (904L)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"";"15 – 25";"25 – 75";">50";"";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";""
"25";"Alloy 20-25-4Mo (904L)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"";"20 – 30";"212 – 230";">50";"";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";""
"26";"Alloy 20-25-4Mo (904L)";"aluminum diformate";"";"";"";"";"organic acid salts";"";"";"5 – 15";"25 – 225";"<20";"";"209,219";"";"";"";"";"";"";"";"";"";"";""
"27";"Alloy 20-25-4Mo (904L)";"aluminum diformate";"";"";"";"";"organic acid salts";"";"";"100";"25 – 225";"<20";"";"209,219";"";"";"";"";"";"";"";"";"";"";""
"28";"Alloy 20-25-4Mo (904L)";"aluminum ethylate";"aluminum ethoxide";"";"555-75-9";"C6H15AlO3";"reducing agents";"";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"29";"Alloy 20-25-4Mo (904L)";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"";"";"100";"25 – 75";"<20";"";"6,214,219";"";"";"";"";"";"";"";"";"";"";""
"30";"Alloy 20-25-4Mo (904L)";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"";"";"100";"175 – 225";">50";"";"6,214,219";"";"";"";"";"";"";"";"";"";"";""
"31";"Alloy 20-25-4Mo (904L)";"aluminum nitrate";"";"";"";"";"salts";"";"";"<40";"0 – 68";"<2";"";"159,215";"";"";"";"";"";"";"";"";"";"";""
"32";"Alloy 20-25-4Mo (904L)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"";"";"<25";"0 – 225";"<2";"";"158,215,219";"";"";"";"";"";"";"";"";"";"";""
"33";"Alloy 20-25-4Mo (904L)";"aluminum sodium sulfate";"";"";"";"";"salts";"";"";"5 – 65";"25 – 225";"<2";"";"215,219";"";"";"";"";"";"";"";"";"";"";""
"34";"Alloy 20-25-4Mo (904L)";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"";"";"5 – 25";"25 – 225";"<2";"";"7,159,215,219,220";"";"";"";"";"";"";"";"";"";"";""
"35";"Alloy 20-25-4Mo (904L)";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"";"";"25";"0 – 212";"<2";"";"7,159,215,219,220";"";"";"";"";"";"";"";"";"";"";""
"36";"Alloy 20-25-4Mo (904L)";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"";"";"35";"0 – 221";"20 – 50";"";"7,159,215,219,220";"";"";"";"";"";"";"";"";"";"";""
"37";"Alloy 20-25-4Mo (904L)";"aminobenzenesulfonic acid";"";"";"";"";"surfactants & detergents";"";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";""
"38";"Alloy 20-25-4Mo (904L)";"aminoethylethanolamine";"";"";"";"";"amines";"";"";"5 – 25";"125 – 225";"<2";"";"217,219";"";"";"";"";"";"";"";"";"";"";""
"39";"Alloy 20-25-4Mo (904L)";"aminoethylethanolamine";"";"";"";"";"amines";"";"";">5";"25 – 125";"<2";"";"217,219";"";"";"";"";"";"";"";"";"";"";""
"40";"Alloy 20-25-4Mo (904L)";"aminoethylethanolamine";"";"";"";"";"amines";"";"";"100";"25 – 225";"<2";"";"217,219";"";"";"";"";"";"";"";"";"";"";""
"41";"Alloy 20-25-4Mo (904L)";"aminopyridines";"";"";"";"";"heterocyclic organics";"";"";"100";"140 – 225";"<20";"";"219,220";"";"";"";"";"";"";"";"";"";"";""
"42";"Alloy 20-25-4Mo (904L)";"ammonia";"";"";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";""
"43";"Alloy 20-25-4Mo (904L)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"";"1066-33-7";"CH5NO3";"salts";"";"";"<95";"0 – 175";"<2";"";"159,217,219,220";"";"";"";"";"";"";"";"";"";"";""
"44";"Alloy 20-25-4Mo (904L)";"ammonium bicarbonate";"ammonium hydrogen carbonate";"";"1066-33-7";"CH5NO3";"salts";"";"";"5 – 95";"175 – 225";"<20";"";"159,217,219,220";"";"";"";"";"";"";"";"";"";"";""
"45";"Alloy 20-25-4Mo (904L)";"ammonium bifluoride";"";"";"";"";"";"";"";"10";"0 – 77";"20 – 50";"";"134,154,217,219";"";"";"";"";"";"";"";"";"";"";""
"46";"Alloy 20-25-4Mo (904L)";"ammonium biphosphate";"";"";"";"";"salts";"";"";"5 – 45";"25 – 175";"<2";"";"213,219";"";"";"";"";"";"";"";"";"";"";""
"47";"Alloy 20-25-4Mo (904L)";"ammonium biphosphate";"";"";"";"";"salts";"";"";"5 – 45";"175 – 225";"<20";"";"213,219";"";"";"";"";"";"";"";"";"";"";""
"48";"Alloy 20-25-4Mo (904L)";"ammonium bisulfite";"ammonium hydrogen sulfite";"";"10192-30-0";"H5NO3S";"salts";"";"";"10";"68";"<2";"";"151,159,219";"";"";"";"";"";"";"";"";"";"";""
"49";"Alloy 20-25-4Mo (904L)";"ammonium bisulfite";"ammonium hydrogen sulfite";"";"10192-30-0";"H5NO3S";"salts";"";"";"10";"212";"<2";"";"151,159,219";"";"";"";"";"";"";"";"";"";"";""
"50";"Alloy 20-25-4Mo (904L)";"ammonium bisulfite";"ammonium hydrogen sulfite";"";"10192-30-0";"H5NO3S";"salts";"";"";"15 – 95";"25 – 225";"<20";"";"151,159,219";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
