sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Tetrahydrofuran";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"tetrahydrofuran";"tetramethylene oxide";"109-99-9";"C4H8O";"ethers";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"tetrahydrofuran";"tetramethylene oxide";"109-99-9";"C4H8O";"ethers";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"tetrahydrofuran";"tetramethylene oxide";"109-99-9";"C4H8O";"ethers";"3";"not recommended; may dissolve, ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"tetrahydrofuran";"tetramethylene oxide";"109-99-9";"C4H8O";"ethers";"3";"not recommended; may dissolve, ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorinated Polyvinyl Chloride (CPVC)";"";"tetrahydrofuran";"tetramethylene oxide";"109-99-9";"C4H8O";"ethers";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"tetrahydrofuran";"tetramethylene oxide";"109-99-9";"C4H8O";"ethers";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"tetrahydrofuran";"tetramethylene oxide";"109-99-9";"C4H8O";"ethers";"1";"recommended; weight gain; strength loss; steady state reached in one week exposure";"100";"32 – 150";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluororubber";"";"tetrahydrofuran";"tetramethylene oxide";"109-99-9";"C4H8O";"ethers";"2";"questionable; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluororubber";"";"tetrahydrofuran";"tetramethylene oxide";"109-99-9";"C4H8O";"ethers";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Nylon";"";"tetrahydrofuran";"tetramethylene oxide";"109-99-9";"C4H8O";"ethers";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
