sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Glass, Chemical";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"16";"Glass, Chemical";"ammonium sulfate";"";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Glass, Chemical";"ammonium thiocyanate";"ammonium rhodanide";"";"1762-95-4";"CH4N2S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Glass, Chemical";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"1";"recommended";"<99";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Glass, Chemical";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"1";"recommended";"80 – 99";"70 – 212";"";"also acid";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Glass, Chemical";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Glass, Chemical";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Glass, Chemical";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 250";"";"also pentachloride";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Glass, Chemical";"ascorbic acid";"";"medicine";"";"";"organic (weak) acids";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Glass, Chemical";"aspirin";"acetylsalicylic acid; 2-(Acetyloxy)benzoic acid";"";"";"";"pharmaceuticals";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Glass, Chemical";"barium chloride";"";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"10 – 60";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Glass, Chemical";"benzaldehyde";"benzenecarboxaldehyde";"";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Glass, Chemical";"benzaldehyde";"benzenecarboxaldehyde";"";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Glass, Chemical";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Glass, Chemical";"benzenesulfonic acid";"";"";"";"";"surfactants & detergents";"1";"recommended";">10";"70 – 392";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Glass, Chemical";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"10";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Glass, Chemical";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Glass, Chemical";"benzotrifluoride";"(trifluoromethyl)benzene";"";"1998-08-08";"C7H5F3";"aromatics";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
