sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phenolic Resins";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"11";"Phenolic Resins, Asbestos-Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"100";"70 – 80";"";"glacial also";"1";"";"";"";"";"";"";"";"";"";""
"12";"Phenolic Resins, Asbestos-Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"13";"Phenolic Resins, Asbestos-Reinforced";"";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"14";"Phenolic Resins, Asbestos-Reinforced";"";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"15";"Phenolic Resins, Asbestos-Reinforced";"";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"16";"Phenolic Resins, Asbestos-Reinforced";"";"acetonitrile";"methyl cyanide";"";"1975-05-08";"C2H3N";"nitriles";"2";"questionable";"20";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"17";"Phenolic Resins, Asbestos-Reinforced";"";"acetonitrile";"methyl cyanide";"";"1975-05-08";"C2H3N";"nitriles";"3";"not recommended";"20";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"18";"Phenolic Resins, Asbestos-Reinforced";"";"acetyl chloride";"ethanoyl chloride";"";"75-36-5";"C2H3ClO";"acid halides";"1";"recommended; Haveg 4120 recommended to 27°C (81°F)";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"19";"Phenolic Resins, Asbestos-Reinforced";"";"acrylic acid";"2-propenoic acid";"";"1979-10-07";"C3H4O2";"organic (weak) acids";"1";"recommended";"90";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"20";"Phenolic Resins, Asbestos-Reinforced";"";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
