sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Coconut fat alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"coconut fat alcohol";"alcohols";"1";"recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorosulfonated Polyethylene";"coconut fat alcohol";"alcohols";"1";"recommended";"100";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"coconut fat alcohol";"alcohols";"2";"questionable";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluororubber";"coconut fat alcohol";"alcohols";"1";"recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polychloroprene";"coconut fat alcohol";"alcohols";"1";"recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyethylene (PE)";"coconut fat alcohol";"alcohols";"1";"recommended; minor stress cracking";"100";"70 – 150";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Rubber, Butyl (BR)";"coconut fat alcohol";"alcohols";"3";"not recommended";"100";"60 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Rubber, Natural (NR)";"coconut fat alcohol";"alcohols";"2";"questionable";"100";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Rubber, Natural (NR)";"coconut fat alcohol";"alcohols";"3";"not recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
