sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Propargyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"1";"recommended";"7";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"3";"not recommended";"7";"150 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"1";"recommended";"7";"70 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"2";"questionable";"100";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"3";"not recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"1";"recommended";"7";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"2";"questionable";"7";"150 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluororubber";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"1";"recommended";"7";"70 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polychloroprene";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"1";"recommended";"7";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polychloroprene";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"3";"not recommended";"7";"150 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polychloroprene";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"1";"recommended";"100";"70 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyethylene (PE)";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"1";"recommended; minor stress cracking";"100";"70 – 150";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinyl Chloride (PVC)";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"1";"recommended";"100";"70 – 80";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinyl Chloride (PVC)";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"3";"not recommended";"100";"80 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Butyl (BR)";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"1";"recommended";"7";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Rubber, Butyl (BR)";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"2";"questionable";"7";"150 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Natural (NR)";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"2";"questionable";"7";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Rubber, Natural (NR)";"propargyl alcohol";"3-hydroxy-1-propyne";"107-19-7";"C3H4O";"alcohols";"3";"not recommended";"7";"150 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
