sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Fluosilicic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"fluosilicic acid";"inorganic acids";"3";"not recommended";"10 – 30";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"fluosilicic acid";"inorganic acids";"1";"recommended";"10 – 40";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"fluosilicic acid";"inorganic acids";"1";"recommended";"40";"60 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"fluosilicic acid";"inorganic acids";"3";"not recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Carbon-Graphite Composites";"";"fluosilicic acid";"inorganic acids";"1";"recommended";"2 – 5";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate";"";"fluosilicic acid";"inorganic acids";"2";"questionable; warped slightly ";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate";"";"fluosilicic acid";"inorganic acids";"2";"questionable; warped slightly ";"30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate Butyrate";"";"fluosilicic acid";"inorganic acids";"3";"not recommended; weight gain";"10";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate Butyrate";"";"fluosilicic acid";"inorganic acids";"3";"not recommended";"30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"fluosilicic acid";"inorganic acids";"1";"recommended";"10";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"fluosilicic acid";"inorganic acids";"1";"recommended";"12";"160";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
