sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Strontium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"strontium chloride";"10476-85-4";"Cl2Sr";"salts";"";"5 – 15";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"strontium chloride";"10476-85-4";"Cl2Sr";"salts";"pitting";"25 – 35";"175 – 225";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"strontium chloride";"10476-85-4";"Cl2Sr";"salts";"";"5 – 15";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"strontium chloride";"10476-85-4";"Cl2Sr";"salts";"pitting";"25 – 35";"175 – 225";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Nickel (200)";"strontium chloride";"10476-85-4";"Cl2Sr";"salts";"";"5 – 15";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Nickel-Copper (400)";"strontium chloride";"10476-85-4";"Cl2Sr";"salts";"";"5 – 15";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Ni-Cr-Fe Alloy (600/ 690)";"strontium chloride";"10476-85-4";"Cl2Sr";"salts";"";"5 – 15";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Ni-Mo Alloy (Ni-30Mo; B-2)";"strontium chloride";"10476-85-4";"Cl2Sr";"salts";"";"15 – 25";"25 – 75";"20 – 50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Ni-Mo Alloy (Ni-30Mo; B-2)";"strontium chloride";"10476-85-4";"Cl2Sr";"salts";"";"25 – 35";"175 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Steels, Carbon/ Low Alloy";"strontium chloride";"10476-85-4";"Cl2Sr";"salts";"";"25 – 35";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
