sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"";"";">28";"0 – 212";"<2";"12,120,161,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"";"";">28";"0 – 212";"<2";"12,120,161,217";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"";"";">28";"0 – 212";"<2";"12,120,161,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"";"";">28";"0 – 212";"<2";"12,120,161,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"";"";"28 – 35";"25 – 75";"<2";"12,120,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"";"";"28 – 35";"75 – 125";"<20";"12,120,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"";"";"28 – 35";"75 – 225";"<20";"12,120,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"";"";"28 – 45";"25 – 75";"<2";"12,120,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"";"";"28 – 35";"75 – 225";"<20";"12,120,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"";"";"28 – 45";"25 – 75";"<2";"12,120,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"severe corrosion with oxygen ingress";"stress corrosion cracking";"28 – 45";"25 – 75";">50";"12,120,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"";"";"28 – 35";"75 – 225";"<20";"12,120,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cast Iron, Gray/ Ductile";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"";"";"28 – 45";"25 – 75";"<2";"12,120,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
