sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Diethanolamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"";"";"100";"0 – 77";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"";"";"100";"325 – 375";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"";"";"100";"325 – 375";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"severe corrosion with oxygen ingress";"";"15 – 25";"175 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"severe corrosion with oxygen ingress";"";"100";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cast Iron, Gray/ Ductile";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"";"";"100";"325 – 375";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper/ Bronze/ Low Brass";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"severe corrosion with oxygen ingress";"";"15 – 25";"125 – 175";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"diethanolamine";"bis(2-hydroxyethyl)amine";"111-42-2";"C4H11NO2";"amines";"severe corrosion with oxygen ingress";"";"15 – 25";"175 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
