sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitric acid + hydrofluoric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"nitric acid + hydrofluoric acid";"";"inorganic acids";"3";"not recommended";"100";"80";"";"12:24 mixture";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"nitric acid + hydrofluoric acid";"";"inorganic acids";"3";"not recommended";"100";"85";"";"12:24 mixture";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"nitric acid + hydrofluoric acid";"";"inorganic acids";"1";"recommended";"100";"165";"";"15:5 mixture";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"nitric acid + hydrofluoric acid";"";"inorganic acids";"1";"recommended";"100";"170";"<6";"15:5 mixture";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"nitric acid + hydrofluoric acid";"";"inorganic acids";"1";"recommended";"100";"200";"<6";"35:5 vapors";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Cements";"";"nitric acid + hydrofluoric acid";"nitric 15%, hydrofluoric 3%";"inorganic acids";"3";"not recommended";"100";"68";"<6";"nitric 15%, hydrofluoric 3%";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Cements";"";"nitric acid + hydrofluoric acid";"";"inorganic acids";"3";"not recommended";"100";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"nitric acid + hydrofluoric acid";"pickling and steel cleaning baths";"inorganic acids";"1";"recommended; barrier linings recommended to 121°C (250°F)";"20 – 60";"250 – 450";">12";"pickling and steel cleaning baths, barrier linings recommended to 121°C (250°F)";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"Teflon FEP";"nitric acid + hydrofluoric acid";"";"inorganic acids";"1";"recommended";"20";"175 – 200";">12";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"nitric acid + hydrofluoric acid";"";"inorganic acids";"1";"recommended";"40 – 50";"175 – 200";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyesters, Glass Fiber-Reinforced";"";"nitric acid + hydrofluoric acid";"";"inorganic acids";"1";"recommended";"20";"70 – 125";"";"8:4 mixture; plus surface veil 10-20 mil Dynel/Orlon";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
