sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Lead acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"lead acetate";"lead diacetate";"";"301-04-2";"C4H6O4Pb";"salts";"1";"recommended";"10 – 90";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"lead acetate";"lead diacetate";"";"301-04-2";"C4H6O4Pb";"salts";"2";"questionable";"10 – 90";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"lead acetate";"lead diacetate";"";"301-04-2";"C4H6O4Pb";"salts";"3";"not recommended";"10 – 90";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"lead acetate";"lead diacetate";"";"301-04-2";"C4H6O4Pb";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"lead acetate";"lead diacetate";"saturated";"301-04-2";"C4H6O4Pb";"salts";"1";"recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"lead acetate";"lead diacetate";"";"301-04-2";"C4H6O4Pb";"salts";"2";"questionable";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"lead acetate";"lead diacetate";"";"301-04-2";"C4H6O4Pb";"salts";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"lead acetate";"lead diacetate";"";"301-04-2";"C4H6O4Pb";"salts";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"9";"Chlorinated Polyvinyl Chloride (CPVC)";"";"lead acetate";"lead diacetate";"";"301-04-2";"C4H6O4Pb";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";""
"10";"Chlorosulfonated Polyethylene";"";"lead acetate";"lead diacetate";"";"301-04-2";"C4H6O4Pb";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"11";"Chlorosulfonated Polyethylene";"";"lead acetate";"lead diacetate";"saturated";"301-04-2";"C4H6O4Pb";"salts";"1";"recommended";"10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
