sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium persulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"<10";"68";"<2";"";"192,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 225";"<2";"";"192,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"10";"68";"<2";"saturated at 10%, 20°C (68°F)";"192,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"4";"68";"<2";"";"192";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"4";"68";"<2";"";"192,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 225";"<2";"";"192,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"4";"68";"<2";"";"192,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 225";"<2";"";"192,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 75";"<20";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"175 – 225";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
