sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"possible hazard";"";"80 – 90";"212";"<20";"";"70,127,218,220";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"hazardous!";"";"85 – 95";"52 – 237";"<20";">0.1% water";"70,127,218,220";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"possible hazard";"";">85";"52 – 147";"<20";"";"70,127,218,220";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"possible hazard";"";"100";"149";">50";"";"70,127,218,220";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"possible hazard";"";"100";"277 – 327";">50";"";"70,127,218,220";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"5 – 95";"52 – 237";"<20";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"100";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
