sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ferrous chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";">10";"75 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"<25";"200";"<6";"16";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"<25";"200";"<6";"16";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"100";"250";"";"16";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"100";"70 – 212";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended; over 3 years";">10";"75 – 212";">12";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Resin, Glass Fiber- Reinforced";"";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"20";"70 – 150";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"ferrous chloride";"iron chloride";"saturated";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"100";"70 – 225";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"10";"Nylon";"";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"2";"questionable";"10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";""
