sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Malonic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 60";"52 – 192";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"100";"266 – 282";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 60";"52 – 192";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"100";"266 – 282";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 15";"52 – 102";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 15";"187 – 237";">50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"intergranular attack";"5 – 15";"52 – 102";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 15";"187 – 237";"20 – 50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"15 – 25";"97 – 147";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 15";"97 – 147";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 15";"187 – 237";"20 – 50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"35 – 45";"97 – 147";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"5 – 15";"52 – 102";">50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"35 – 45";"52 – 102";">50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"5 – 60";"52 – 237";"<20";"no air, oxygen";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper-Nickel";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"";"0";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 15";"52 – 102";">50";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
