sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Oleic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (12Cr)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cr Stainless Steel (17Cr)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Duplex Stainless Steel (25-6-3)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"302";"<2";"";"173";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Gold/ Platinum";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 475";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Lead";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 275";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 175";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"175 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"425 – 475";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 175";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"175 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"425 – 475";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 175";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"175 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"425 – 475";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 175";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"175 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"425 – 475";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"25 – 175";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"175 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"oleic acid";"cis-9-octadecenoic acid";"112-80-1";"C18H34O2";"organic (weak) acids";"";"";"100";"425 – 475";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
