sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Fluorine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"fluorine";"gas";"7782-41-4";"F2";"100";"25 – 500";"<2";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"fluorine";"gas";"7782-41-4";"F2";"100";"25 – 500";"<2";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"fluorine";"gas";"7782-41-4";"F2";"100";"25 – 500";"<2";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel (200)";"fluorine";"gas";"7782-41-4";"F2";"100";"25 – 500";"<2";"51,129,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel Cast Iron (15-35Ni)";"fluorine";"gas";"7782-41-4";"F2";"100";"25 – 225";"<2";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel Cast Iron (15-35Ni)";"fluorine";"gas";"7782-41-4";"F2";"100";"375 – 425";">50";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel-Copper (400)";"fluorine";"gas";"7782-41-4";"F2";"100";"25 – 500";"<2";"51,129,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Cr-Fe Alloy (600/ 690)";"fluorine";"gas";"7782-41-4";"F2";"100";"25 – 500";"<2";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Ni-Mo Alloy (Ni-30Mo; B-2)";"fluorine";"gas";"7782-41-4";"F2";"100";"25 – 75";"<20";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Niobium (Columbium)";"fluorine";"gas";"7782-41-4";"F2";"100";"77";">50";"51,129,214,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Silicon Cast Iron (14Si)";"fluorine";"gas";"7782-41-4";"F2";"100";"52 – 597";">50";"51,129,214,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Silver";"fluorine";"gas";"7782-41-4";"F2";"100";"25 – 75";"20 – 50";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Silver";"fluorine";"gas";"7782-41-4";"F2";"100";"75 – 125";">50";"51,129,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
