sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Stannic ammonium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"stannic ammonium chloride";"salts";"";"pitting";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"stannic ammonium chloride";"salts";"";"";"5 – 15";"75 – 125";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"stannic ammonium chloride";"salts";"";"";"5 – 35";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"stannic ammonium chloride";"salts";"";"";"5 – 35";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"stannic ammonium chloride";"salts";"";"";"5 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"stannic ammonium chloride";"salts";"";"";"5 – 15";"75 – 125";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"stannic ammonium chloride";"salts";"";"";"5 – 35";"25 – 75";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"stannic ammonium chloride";"salts";"";"";"5 – 15";"25 – 125";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"stannic ammonium chloride";"salts";"";"pitting";"5 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"stannic ammonium chloride";"salts";"";"";"25 – 35";"25 – 125";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"stannic ammonium chloride";"salts";"severe corrosion with oxygen ingress";"";"5 – 35";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Brass (>15Zn)";"stannic ammonium chloride";"salts";"severe corrosion with oxygen ingress";"";">5";"175 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cast Iron, Gray/ Ductile";"stannic ammonium chloride";"salts";"";"";"5 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper/ Bronze/ Low Brass";"stannic ammonium chloride";"salts";"severe corrosion with oxygen ingress";"";"5 – 35";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper-Nickel";"stannic ammonium chloride";"salts";"severe corrosion with oxygen ingress";"";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (12Cr)";"stannic ammonium chloride";"salts";"";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cr Stainless Steel (17Cr)";"stannic ammonium chloride";"salts";"";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Gold/ Platinum";"stannic ammonium chloride";"salts";"";"";"5 – 35";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Gold/ Platinum";"stannic ammonium chloride";"salts";"";"";"35 – 45";"75 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Gold/ Platinum";"stannic ammonium chloride";"salts";"";"";"45 – 55";"125 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Gold/ Platinum";"stannic ammonium chloride";"salts";"";"";">55";"175 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"stannic ammonium chloride";"salts";"";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"stannic ammonium chloride";"salts";"";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"stannic ammonium chloride";"salts";"";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"stannic ammonium chloride";"salts";"";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
