sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Allylamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";"5 – 25";"25 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";">35";"25 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";">5";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";"25 – 35";"225 – 325";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Brass (>15Zn)";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"severe corrosion with oxygen ingress";"";"100";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cast Iron, Gray/ Ductile";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";">5";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Copper/ Bronze/ Low Brass";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"severe corrosion with oxygen ingress";"";"100";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper-Nickel";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"severe corrosion with oxygen ingress";"";"";"0";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cr Stainless Steel (12Cr)";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";">5";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (17Cr)";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";">5";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Gold/ Platinum";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";"25 – 35";"25 – 275";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel (200)";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"severe corrosion with oxygen ingress";"";"5 – 25";"25 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel (200)";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"severe corrosion with oxygen ingress";"";">35";"25 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel Cast Iron (15-35Ni)";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";">5";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel-Copper (400)";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"severe corrosion with oxygen ingress";"";"";"0";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Silicon Cast Iron (14Si)";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";">5";"52 – 237";"<20";"217,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Steels, Carbon/ Low Alloy";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";">5";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Steels, Carbon/ Low Alloy";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"pitting";"55 – 65";"225 – 325";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Tantalum";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";"25 – 35";"25 – 275";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Tantalum";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Zirconium";"allylamine";"2-propen-1-amine";"107-11-9";"C3H7N";"amines";"";"";">5";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
