sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dioxane";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"dioxane";"ethers";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"dioxane";"ethers";"3";"not recommended; may dissolve ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"dioxane";"ethers";"3";"not recommended; may dissolve ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Carbon-Graphite Composites";"";"dioxane";"ethers";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"";"dioxane";"ethers";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"dioxane";"ethers";"3";"not recommended; disintegrated";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"dioxane";"ethers";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Concrete";"";"dioxane";"ethers";"3";"not recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"dioxane";"ethers";"1";"recommended";"100";"75";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"dioxane";"ethers";"1";"recommended";">60";"250";"<1";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"dioxane";"ethers";"1";"recommended";"100";"70 – 90";"";"immersed, cyclic immersion";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"dioxane";"ethers";"1";"recommended";"100";"90 – 195";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"dioxane";"ethers";"1";"recommended; weight gain ";"100";"195 – 212";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
