sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"2";"questionable";">10";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"3";"not recommended";">10";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"10 – 70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium chloride";"sal ammoniac";"saturated";"12125-02-9";"ClH4N";"salts";"1";"recommended";"70";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"8";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";">10";"75 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate";"";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"2";"questionable";"70";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"10";"Cellulose Acetate Butyrate";"";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"3";"not recommended";"30";"60 – 70";"<1";"saturated; weight gain";"1";"";"";"";"";"";"";"";"";"";""
"11";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"45";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"12";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"100";"75";"";"";"16";"";"";"";"";"";"";"";"";"";""
