sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Monochloroacetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"monochloroacetic acid";"organic (weak) acids";"1";"recommended";"50";"80";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"monochloroacetic acid";"organic (weak) acids";"3";"not recommended";"80";"165";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"monochloroacetic acid";"organic (weak) acids";"3";"not recommended";"100";"140";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Cements";"";"monochloroacetic acid";"organic (weak) acids";"3";"not recommended";"10";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Cements";"";"monochloroacetic acid";"organic (weak) acids";"3";"not recommended";"10";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Cements";"";"monochloroacetic acid";"organic (weak) acids";"3";"not recommended";"100";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Cements";"";"monochloroacetic acid";"organic (weak) acids";"3";"not recommended";"100";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"monochloroacetic acid";"organic (weak) acids";"1";"recommended; do not use over 135°C (275°F) in contact with glass-lined equipment";"100";"250 – 275";">12";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Furan Resins";"";"monochloroacetic acid";"organic (weak) acids";"1";"recommended";"100";"0 – 302";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Phenolic Resins";"";"monochloroacetic acid";"organic (weak) acids";"2";"questionable";"100";"0 – 302";"<6";"cN and CS (carbon filled), CV (silica filled)";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Silicates";"";"monochloroacetic acid";"organic (weak) acids";"1";"recommended";"100";"0 – 302";"<6";"HB, HES, HFR, SWK";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
