sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butylene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"butylene";"petroleum product";"olefins";"3";"not recommended";"100";"0 – 32";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butylene";"liquid; petroleum product";"olefins";"1";"recommended";"100";"25 – 50";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butylene";"petroleum product";"olefins";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"";"butylene";"liquid; petroleum product";"olefins";"1";"recommended";"100";"-4";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluororubber";"";"butylene";"liquid; petroleum product";"olefins";"1";"recommended";"100";"-301.5 – 20.7";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polychloroprene";"";"butylene";"petroleum product";"olefins";"2";"questionable";"100";"-4";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyethylene (PE)";"";"butylene";"petroleum product";"olefins";"1";"recommended";"100";"70 – 125";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"butylene";"petroleum product";"olefins";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyvinyl Chloride (PVC)";"";"butylene";"petroleum product";"olefins";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyvinylidene Fluoride (PVDF)";"Kynar";"butylene";"petroleum product";"olefins";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Rubber, Butyl (BR)";"";"butylene";"petroleum product";"olefins";"1";"recommended";"100";"-4";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Rubber, Natural (NR)";"";"butylene";"petroleum product";"olefins";"2";"questionable";"100";"0 – 32";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
