sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Alum";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"alum";"potassium aluminum sulfate dodecahydrate";"ammonium or potassium alum";"7784-24-9";"AlH24KO20S2";"salts";"1";"recommended";"10";"200";"<6";"16";"";"";"";"";"";"";"";"";"";"";""
"2";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"alum";"potassium aluminum sulfate dodecahydrate";"ammonium or potassium alum";"7784-24-9";"AlH24KO20S2";"salts";"1";"recommended";"any";"250 – 400";"";"10";"";"";"";"";"";"";"";"";"";"";""
"3";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"alum";"potassium aluminum sulfate dodecahydrate";"ammonium or potassium alum";"7784-24-9";"AlH24KO20S2";"salts";"1";"recommended";"any";"0 – 175";"";"10";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"Teflon FEP";"alum";"potassium aluminum sulfate dodecahydrate";"ammonium or potassium alum";"7784-24-9";"AlH24KO20S2";"salts";"1";"recommended; barrier linings recommended to 149°C (300°F)";"any";"175 – 350";"";"10";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"alum";"potassium aluminum sulfate dodecahydrate";"ammonium or potassium alum";"7784-24-9";"AlH24KO20S2";"salts";"1";"recommended";"100";"175";"";"6";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
