sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hypochlorous acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 225";"<2";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";"<2";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";"<2";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";"<2";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";"<2";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";"<2";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel Cast Iron (15-35Ni)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel-Copper (400)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Cr-Fe Alloy (600/ 690)";"hypochlorous acid";"7790-92-3";"ClHO";"inorganic acids";"";"100";"25 – 75";">50";"211,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
