sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Phenolic Resins, Asbestos-Reinforced";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Phenolic Resins, Asbestos-Reinforced";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; Haveg 61 recommended ";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polychloroprene";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; weight gain";"100";"70 – 135";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polychloroprene";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; swollen";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyesters, Glass Fiber-Reinforced";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended; strength loss 20% in 1.5 years at 21°C (70°F)";">10";"50 – 98";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyethylene (PE)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"2";"questionable; may stress crack; weight gain; plasticizer";"100";"60 – 70";"<1";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Polyethylene (PE)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Polymethyl Methacrylate (PMMA)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; may dissolve";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended";"100";"0 – 170";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Polyphenylene Sulfide, Glass Fiber-Reinforced";"Ryton PPS R-4";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended; questionable if weight change or ";"100";"170 – 200";"<6";"";"18";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Polypropylene (PP)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"2";"questionable; swollen; weight gain";"100";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Polypropylene (PP)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Polyvinyl Chloride (PVC)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Polyvinyl Chloride (PVC)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; disintegrated ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Polyvinylidene Fluoride (PVDF)";"Kynar";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"2";"questionable";"100";"60 – 70";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Polyvinylidene Fluoride (PVDF)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Rubber, Butyl (BR)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended";"100";"70 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Rubber, Natural (NR)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; weight gain ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Rubber, Natural (NR)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended; swollen ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Styrene Acrylonitrile Copolymer (SAN)";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Vinyl Ester Resins";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended";">10";"50 – 70";">12";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Wood";"";"ethyl acetate";"141-78-6";"C4H8O2";"esters";"1";"recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
