sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"3";"not recommended; may dissolve ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"3";"not recommended; may dissolve ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"1";"recommended; strength loss";"100";"32 – 212";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"6";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"1";"recommended; steady state reached in exposure time";"100";"212 – 250";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"1";"recommended";"100";"70 – 150";"";"immersed, cyclic immersion";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"1";"recommended";"100";"200 – 375";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"1";"recommended; discolored, ";"100";"375 – 399";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluororubber";"";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"2";"questionable";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
